datetime,open,high,low,close
7/5/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
7/4/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
7/3/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
7/2/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
7/1/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/28/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/27/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
6/26/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
6/25/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
6/24/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
6/21/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/20/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
6/19/2024,2.37971E-05,2.38095E-05,2.37971E-05,2.37971E-05
6/18/2024,2.37971E-05,2.37971E-05,2.37971E-05,2.37971E-05
6/17/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/14/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
6/13/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/12/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
6/11/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
6/10/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
6/7/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
6/6/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
6/5/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
6/4/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
6/3/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/31/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/30/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/29/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/28/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/27/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/24/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/23/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/22/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/21/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/20/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.38095E-05
5/17/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/16/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
5/15/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/14/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
5/13/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/10/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
5/9/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
5/8/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/7/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/6/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
5/3/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
5/2/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
5/1/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
4/30/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/29/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/26/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
4/25/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
4/24/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
4/23/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/22/2024,2.3801E-05,2.38095E-05,2.3801E-05,2.3801E-05
4/19/2024,2.3801E-05,2.3801E-05,2.3801E-05,2.3801E-05
4/18/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/17/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
4/16/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/15/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/12/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/11/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/10/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
4/9/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/8/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
4/5/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
4/4/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/3/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
4/2/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
4/1/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
3/29/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
3/28/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
3/27/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
3/26/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
3/25/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
3/22/2024,2.3801E-05,2.3801E-05,2.3801E-05,2.3801E-05
3/21/2024,2.38095E-05,2.38095E-05,2.3801E-05,2.38095E-05
