datetime,open,high,low,close,volume
5/3/2023,458.20001,459.47,452.69,453.070007,1116700
5/2/2023,468.38,468.53,457.25,458.89001,1105500
5/1/2023,465.040009,471.079987,464.54999,469.42999,1524500
4/28/2023,464.82001,466.16,462.39999,464.45001,1040000
4/27/2023,461.85001,466.32999,461.14999,465,1491400
4/26/2023,473.95001,473.95001,459.60001,461.62,1571900
4/25/2023,480.70001,480.92001,475.56,475.57999,839100
4/24/2023,482.39001,483.53,478.72,480.92001,955200
4/21/2023,491.23999,491.28,480.60999,482.54999,1382500
4/20/2023,495.82999,495.82999,489.059998,490.60001,839900
4/19/2023,502,503.32999,493.88,495.16,962200
4/18/2023,499,508.10001,498,501.41,2561800
4/17/2023,486.57001,492.26001,486.57001,489.64001,1287800
4/14/2023,489.94,491.5,485.10999,487.98999,843200
4/13/2023,486.82001,493.51001,485.98001,492.14001,909500
4/12/2023,482.79999,491.25,481.69,488.10001,1105600
4/11/2023,496.38,496.75,487.01001,487.84,1224200
4/10/2023,491.76999,498.42001,491.76999,496.75,1024400
4/6/2023,491.47,496.98001,489.01001,490.17001,1093300
4/5/2023,488,493.82999,487.029999,489.98999,1305900
4/4/2023,485.59,490.63,484.75,488.54001,1081100
4/3/2023,473,487.89999,472.75,486.62,1656700
3/31/2023,474.19,475.35001,471.029999,472.73001,1409600
3/30/2023,474.54001,475.79999,471.73001,473.17999,950300
3/29/2023,471.26001,474.29999,470.67999,474.19,1146400
3/28/2023,474,475.60999,471.16,471.44,1076100
3/27/2023,477.10999,477.56,472.41,473.39001,1273000
3/24/2023,467.89999,475.67001,467.14999,474.54001,1126000
3/23/2023,468.63,470.95001,466.5,467.89999,1168500
3/22/2023,475.44,476.76999,468.32001,468.89999,1261700
3/21/2023,478.87,479.25,471.29999,474.76001,1069000
3/20/2023,468.22,477.76999,465.20999,475.70001,1515400
3/17/2023,474.12,474.92001,463.29001,465.87,6525100
3/16/2023,470.94,478.049988,467.73999,473.23999,1633000
3/15/2023,475,475.13,464.57001,473.31,2273300
3/14/2023,480.29001,481.26999,474.87,478.87,1761400
3/13/2023,471.87,478.89999,470.79999,477.32999,1701000
3/10/2023,475.70999,482.29999,474.42001,475.5,1335000
3/9/2023,483,483.26001,474.60999,475.85001,1035000
3/8/2023,481.040009,487.64001,476.70999,479.5,1252900
3/7/2023,481.5,485.089996,478,478.66,1137900
3/6/2023,476.82001,481.79999,476.82001,480.17001,905700
3/3/2023,478.89999,479.54001,476.38,477.89001,1060500
3/2/2023,472.98001,479.17001,472.97,478.31,835700
3/1/2023,473.26999,477.22,471.29001,474.32999,957700
2/28/2023,477.040009,478.53,471.82001,474.26001,1155500
2/27/2023,480.53,484.10001,477.19,479.48999,1149000
2/24/2023,479.45999,481.79999,477.29999,480.39999,1009300
2/23/2023,480,483.089996,475.53,479.079987,917400
2/22/2023,478.81,481.67001,477.47,479.53,900300
2/21/2023,480.51001,482.39999,475.20001,479.19,1379400
2/17/2023,471.79001,475.66,470.84,475.63,1184200
2/16/2023,477,477.57999,466.10001,471.25,1939500
2/15/2023,480.82999,484.25,477.39999,480.51001,927100
2/14/2023,482.45001,485,479.66,481.57999,875600
2/13/2023,485.19,489.5,480.10001,481.97,1203100
2/10/2023,472.38,481.85999,472.38,480.82999,1436300
2/9/2023,472.42999,474.34,468.20001,470.089996,799000
2/8/2023,464.97,471.38,463.32001,469.64999,865000
2/7/2023,472.54999,472.98999,463.14999,468.32999,1334800
2/6/2023,463.57999,469.76999,462.75,469.10001,1393500
2/3/2023,459.26999,462.60001,454.94,459.079987,1302900
2/2/2023,458.37,460.42999,453.92001,457.19,2104700
2/1/2023,462.51001,465.28,459.79999,462.25,1242500
1/31/2023,462.28,463.48001,459.01001,463.26001,2062000
1/30/2023,462,466.70001,459.89999,460.59,1642000
1/27/2023,460.85999,466.67999,457.45001,459.60001,1587700
1/26/2023,455.35001,463.76001,452.82999,459.81,2168900
1/25/2023,448,455.81,444.84,454.16,2352500
1/24/2023,442.17001,450.95999,437.69,449.23001,2865000
1/23/2023,443.10999,446.82999,440.85999,441.28,1739600
1/20/2023,441.34,443.35001,437.62,443.28,1410000
1/19/2023,442.76001,445.92001,439.029999,439.31,1469900
1/18/2023,447.16,448.23001,440.64999,441.26999,1645100
1/17/2023,450.29999,453.5,446.67001,447.16,1753100
1/13/2023,446.5,453.70999,444.73999,449.82999,2208600
1/12/2023,462.98999,465.88,459.19,461.73999,936600
1/11/2023,463.37,465.54999,461.040009,463,1056400
1/10/2023,462.17999,465.47,456.89999,462.29001,1003400
1/9/2023,467.79001,470.79001,455.29999,458.98999,2377000
1/6/2023,480,488,465.76999,473.23999,1969200
1/5/2023,475.69,478.14001,469.89999,477.070007,1210100
1/4/2023,473.25,479.70001,469.29999,476.5,1391300
1/3/2023,483.39001,484.25,474.01001,477.53,1657200
12/30/2022,488,489.81,481.23999,486.48999,910000
12/29/2022,484,489.57001,483.29999,487.049988,764000
12/28/2022,486.14999,489,482.89999,483.22,810300
12/27/2022,485,489.23999,483.5,485.5,788800
12/23/2022,479.5,484.17999,478.35999,483.29001,661600
12/22/2022,486.5,486.82001,473.95001,479.29999,1520700
12/21/2022,487.88,490.57001,485.69,487.64999,988300
12/20/2022,482.88,491.45001,481.82001,486.14999,1014300
12/19/2022,481.78,487.98001,479.92999,481.79001,929700
12/16/2022,475.63,482.60999,473.67001,481.79001,2590600
12/15/2022,481,485.10001,475.12,478.79001,1067300
12/14/2022,481.19,488.26999,480.14001,485.19,1071800
12/13/2022,490,490.37,478.67001,480.22,1730900
12/12/2022,484.95001,487.17001,482.5,486.32001,1129200
12/9/2022,485.64001,490.35999,483.20999,483.57999,856400
12/8/2022,485.26001,488.81,481.54999,485.38,762200
12/7/2022,484.29999,489.23999,480.48001,481.20001,999800
12/6/2022,491.32001,491.32001,482.20001,484,1076500
12/5/2022,490.87,494.98001,488.32001,490.67001,1357200
12/2/2022,481.81,498.95001,481.81,496.23001,1744400
12/1/2022,486.51999,488,480.67001,483.69,913600
11/30/2022,480,485.95001,477.73001,485.19,1470000
11/29/2022,483.10001,485.10001,481.73999,484.10001,802600
11/28/2022,480.10999,485.23999,480,483.20999,939000
11/25/2022,484.29999,484.5,481.42001,483.45999,321500
11/23/2022,479.78,482.98999,478.72,481.070007,1020200
11/22/2022,482.97,484.26001,479.28,479.5,838400
11/21/2022,478.48999,483.95999,478.23001,480.94,1730500
11/18/2022,473.63,480.87,472.76999,476.82001,2160300
11/17/2022,465,474.78,464.26001,472.76999,1401900
11/16/2022,465.23999,469.26001,461.59,466.23999,1022600
11/15/2022,465.84,474.98999,458.049988,467.25,3272800
11/14/2022,467.35001,471.98001,459.37,462.040009,2286700
11/11/2022,480.73999,483.82999,462.60999,463.85999,3061800
11/10/2022,488.26001,491.22,479.70001,490.76999,1601000
11/9/2022,489.75,492.44,484.23999,485.17999,1383200
11/8/2022,488.88,494.66,486.84,494.12,1221000
11/7/2022,482.48001,489.95999,480.95999,488.63,944800
11/4/2022,485.16,486.5,472.57001,481.67001,1481100
11/3/2022,479.76999,489.97,478.54999,484.82001,1291100
11/2/2022,484.54001,488.88,481.5,482.059998,1291800
11/1/2022,486.029999,491.16,483.87,485.63,1229700
10/31/2022,480.45001,488.23001,479.42999,486.67999,1288200
10/28/2022,474,491.14001,472.29999,484.87,2045300
10/27/2022,464.57999,474.17999,464.39999,471.92999,1513700
10/26/2022,462.17001,470.64001,460.45999,462.56,1554600
10/25/2022,454.049988,463.54001,452.19,460.14999,1537000
10/24/2022,459.079987,466.17999,455.56,457.45999,2013600
10/21/2022,443.72,454.69,440.14999,454.60999,1620200
10/20/2022,439.62,445.31,437.95001,444.34,1781300
10/19/2022,433.97,447.57001,430.35001,439.95999,2623700
10/18/2022,403.14999,435.51001,401.54001,431.84,4588500
10/17/2022,393,400.60999,392.14999,397.31,1617200
10/14/2022,404.32999,405.38,388.10001,389.41,1369100
10/13/2022,393,407.049988,391.22,405.95999,1012700
10/12/2022,406.92999,408.89999,397.14001,397.42001,921700
10/11/2022,405.66,416.16,405.66,411.059998,1013600
10/10/2022,407.59,418.63,406.14999,409.98999,1112500
10/7/2022,398.56,404.67001,396.01001,403.95999,1124700
10/6/2022,401.62,403.60001,398.079987,399.60999,746700
10/5/2022,406.10999,407.66,400.78,402.51001,828400
10/4/2022,403.10999,407.84,399.82999,406.10999,1060000
10/3/2022,389.73999,402.82999,389.079987,399.73999,1273800
9/30/2022,381.63,389.89999,381.54999,386.29001,1343700
9/29/2022,398.98001,399.41,385.89001,389.79001,1127700
9/28/2022,397.20001,402.089996,391.10001,400,1161500
9/27/2022,409.20001,410.32001,398.37,399.73999,1051900
9/26/2022,411.69,412.20999,406.51001,407.64999,1208300
9/23/2022,419.78,420.01001,407.57999,413.070007,1874600
9/22/2022,419.82999,424.72,413,422.079987,1409900
9/21/2022,427.98999,433.79001,420.029999,420.20001,2106400
9/20/2022,416,421.41,412.34,420.57999,1112100
9/19/2022,414,417.64001,412.73001,416.51999,695500
9/16/2022,411.25,415.76999,410.01001,414.29001,2023300
9/15/2022,414.82999,414.82999,410.73001,413.59,1189200
9/14/2022,410.19,418.39999,408.29999,416.63,1004100
9/13/2022,417.32001,420.79999,407.35999,409.32999,1621200
9/12/2022,421,421.48999,417.5,418.64001,1349700
9/9/2022,420.69,423.62,419.019989,421.53,1284600
9/8/2022,419.57001,421.070007,414.76999,419.64999,1112600
9/7/2022,415.35001,420.89999,412.26001,420.14001,1255700
9/6/2022,419.01001,423.26999,415.78,417.78,962500
9/2/2022,424.98999,425.69,417.54999,418.57001,869800
9/1/2022,418.23999,423.57999,417.79999,422.60999,948800
8/31/2022,422.35999,424.73999,420.019989,420.10999,909300
8/30/2022,429.44,430.37,424.01001,425.10999,976100
8/29/2022,427.66,433.89999,426.48001,429.67999,868100
8/26/2022,440.39999,442.78,430.94,431.13,876200
8/25/2022,433.70999,438.84,432.42999,438.64001,727600
8/24/2022,433.98999,435.45001,430.94,433.70999,740200
8/23/2022,432.92999,434.73001,430.29999,433.12,915200
8/22/2022,438.51001,441.64001,431.84,432.32999,1086700
8/19/2022,438.48001,440.92001,436.040009,440.029999,1013600
8/18/2022,441.91,444.57999,436.87,439.35001,866500
8/17/2022,436.13,445.48999,435,441.59,996500
8/16/2022,436.92001,445,436.92001,440.16,851100
8/15/2022,432.67999,439.97,429.85999,438.01001,884900
8/12/2022,428.89999,434.29001,427.19,434.23999,978000
8/11/2022,429.23999,432.48999,427.20001,428.85001,949300
8/10/2022,430.070007,432.25,426.34,429.98999,1409300
8/9/2022,426.95001,431.88,425.70001,428.54999,747400
8/8/2022,427.5,429.37,421.67999,423.85999,814800
8/5/2022,425.26001,427.84,419.53,426.41,932500
8/4/2022,430.70999,434.64999,426.89001,428.13,1126400
8/3/2022,427.26999,431.76001,419.64001,429.29999,1330500
8/2/2022,425.01001,432.84,419.10001,428.78,2453900
8/1/2022,418.23999,428.5,416.64001,419.28,1721900
7/29/2022,406.48999,414.14999,402,413.81,1493500
7/28/2022,399.14999,406.76999,396.14001,406.079987,1014600
7/27/2022,397.79001,399.25,394,398.54001,838600
7/26/2022,400.17999,402.98001,396.57001,396.81,992400
7/25/2022,394.37,403.73001,393.63,399.79999,1038300
7/22/2022,399.95001,401.97,393.45999,394.73999,769400
7/21/2022,394.32001,395.54999,389.64001,395.20001,941000
7/20/2022,390.66,397.48001,385.67001,395.22,1560300
7/19/2022,378.82001,390.57001,373.67001,390.38,3023800
7/18/2022,399.97,400,387.029999,387.28,2759700
7/15/2022,403.70999,403.70999,397.81,398.38,1223200
7/14/2022,403.19,405.37,397.51999,400.31,1160700
7/13/2022,409.10999,417.76999,407.73001,408,1155500
7/12/2022,419.47,419.89001,412.60001,413.98999,680500
7/11/2022,417.89999,423,415.38,419.070007,602600
7/8/2022,425.54001,426.97,419.97,420.35001,682000
7/7/2022,424.48001,428,419.54999,422.19,1177100
7/6/2022,416.89999,427.85999,415.28,425.89001,1044900
7/5/2022,424.79001,425.76999,407.20999,415.25,1712800
7/1/2022,429.73999,434.95999,424.48001,433.51999,1296900
6/30/2022,418.16,430.32001,416.88,429.95999,1269500
6/29/2022,423.059998,424.41,416.42999,418.89001,733800
6/28/2022,423,427.56,419.35001,420.70999,953300
6/27/2022,419.040009,423.19,417.47,419.25,779000
6/24/2022,415.84,419.48001,410.67999,419.040009,1768000
6/23/2022,415.37,416.26999,407.17999,410.62,988700
6/22/2022,414.059998,420.42001,411.79001,415.45001,1073300
6/21/2022,412,420.5,409.01001,418.95999,1474400
6/17/2022,403.57001,405.39999,394.66,404.01001,3757100
6/16/2022,410.42999,412.89001,403.019989,404.79001,1580300
6/15/2022,417.56,419,408.87,414.10001,1241700
6/14/2022,424.01001,424.16,411.10999,416.17001,1497800
6/13/2022,424.39999,428.35999,421.51999,423.92999,1483000
6/10/2022,431,434.35001,425.75,430.19,1165700
6/9/2022,443.42001,443.54999,432.5,432.72,995100
6/8/2022,452,454.64001,442.91,443.41,1151600
6/7/2022,442,456.67001,441.39999,456.29999,1126000
6/6/2022,443.82001,446,441.56,443.41,690000
6/3/2022,440,446.57999,439.16,442.69,928000
6/2/2022,441.76001,442.54001,430.44,441.10999,1210000
6/1/2022,443.029999,443.85001,436.48999,439.29999,1199000
5/31/2022,443,445,438.41,440.10999,2539100
5/27/2022,451.14001,451.47,444.45999,450.56,1265800
5/26/2022,450,454.059998,447.76999,447.98999,1143100
5/25/2022,443.48001,448.63,441.29999,447.54001,1032200
5/24/2022,433,443.31,433,442.78,1034100
5/23/2022,427.44,435.64999,427.44,433.029999,1038200
5/20/2022,428,428,417.29001,424.14999,1632500
5/19/2022,430.85001,432.98999,419.29001,425.62,1539800
5/18/2022,441,442.070007,433.10001,434.32999,986900
5/17/2022,439.81,442.22,431.26001,441,798100
5/16/2022,435,440.37,432.16,437.54999,1004700
5/13/2022,435.35999,437.70999,429,435.17001,1114700
5/12/2022,439.26001,441.32001,428.35001,434.59,1390200
5/11/2022,437.5,444.98999,436.62,440.41,1018200
5/10/2022,439.94,446.5,437.5,439.13,978500
