datetime,open,high,low,close
9/26/2025,3757.68,3799,3742.04,3771.5
9/25/2025,3747.29,3773.55,3730,3757.69
9/24/2025,3777.11,3788.79,3720.78,3747.29
9/23/2025,3760.42,3800,3748.89,3777.03
9/22/2025,3689.63,3762.62,3686.83,3760.41
9/20/2025,3688.92,3693.04,3683.34,3691.44
9/19/2025,3647.62,3690.09,3641.01,3688.92
9/18/2025,3664.38,3674.27,3638.08,3647.61
9/17/2025,3696.78,3708.49,3657.59,3664.37
9/16/2025,3683.47,3712.69,3677.61,3696.78
9/15/2025,3652.38,3692.79,3635.07,3683.47
9/13/2025,3642.08,3646.34,3625.47,3632.77
9/12/2025,3634.01,3655.89,3630.53,3642.08
9/11/2025,3641.3,3646.92,3614.09,3634.06
9/10/2025,3638.48,3664,3630,3641.3
9/9/2025,3641.12,3681.7,3633.36,3638.7
9/8/2025,3609.59,3649.32,3588.12,3641.18
9/6/2025,3590,3611.68,3590,3606.64
9/5/2025,3553.16,3599.1,3548.64,3590.01
9/4/2025,3573.33,3578.25,3527.55,3553.16
9/3/2025,3550.4,3587.5,3542.4,3573.33
9/2/2025,3490.82,3556.69,3486.35,3550.4
9/1/2025,3467.33,3502,3451.13,3490.83
8/30/2025,3455.6,3466.73,3451.04,3463.81
8/29/2025,3419.77,3464.7,3407.8,3455.59
8/28/2025,3388.81,3423.25,3378,3419.78
8/27/2025,3379.9,3388.82,3365,3388.82
8/26/2025,3349.54,3379.98,3336,3379.95
8/25/2025,3358.02,3366.68994,3349.12,3349.54
8/23/2025,3363.43,3366.18,3345.51,3359.72
8/22/2025,3332.13,3363.43,3318.28,3363.42
8/21/2025,3339.88,3342.56,3318.25,3332.14
8/20/2025,3314.84,3339.91,3301.77,3339.88
8/19/2025,3331.76,3342.06,3308.01,3314.82
8/18/2025,3330.09,3380,3322,3331.75
8/16/2025,3329.35,3336.01,3327.21,3331.25
8/15/2025,3330.23,3341.09,3326.01,3329.36
8/14/2025,3350.8,3361,3324.39,3330.23
8/13/2025,3342.52,3358.6,3335.55,3350.8
8/12/2025,3344.14,3357.52,3332,3342.47
8/11/2025,3386.51,3391.7,3339.63,3344.13
8/9/2025,3387.21,3393.8,3375,3389.32
8/8/2025,3389.03,3397.81,3375.19,3387.21
8/7/2025,3371.54,3394.98,3368.36,3389.29
8/6/2025,3379.59,3385.25,3362.51,3371.53
8/5/2025,3378.97,3393.62,3353.8,3379.58
8/4/2025,3368.63,3384.39,3348.8,3378.96
8/2/2025,3361.89,3369.98,3355.58,3361.38
8/1/2025,3299.42,3362,3289.05,3361.89
7/31/2025,3292.2,3321.34,3288.88,3299.41
7/30/2025,3334.23,3340.28,3283,3291.98
7/29/2025,3322.01,3338.09,3318.39,3334.24
7/28/2025,3348.18,3351.53,3312,3322.01
7/26/2025,3347.16,3358.44,3345.6,3352.96
7/25/2025,3370.59,3373.55005,3326.32007,3347.17
7/24/2025,3389.03,3396.34,3359.33,3370.59
7/23/2025,3427.08,3437.79004,3386.11,3389.03
7/22/2025,3397.33,3433.43994,3383.24,3427.09
7/21/2025,3345,3401.3999,3345,3397.33
7/20/2025,3349.4,3352.8,3346.3,3347.3
7/19/2025,3347.6,3352.6,3341.9,3348
7/18/2025,3303.71,3361.28003,3303.71,3347.9
7/17/2025,3344.7,3352.25,3309.98999,3337.6
7/16/2025,3324.3,3377.18994,3319.92993,3344.7
7/15/2025,3342.4,3366.24,3320.36011,3324.6
7/14/2025,3356.92,3375.02002,3341.1499,3342.4
7/13/2025,3348,3350.9,3345.4,3349.4
7/12/2025,3349.8,3354.76,3343.6,3348.6
7/11/2025,3318.9,3367.45996,3314.8,3349.9
7/10/2025,3312.1,3330.21,3306.2,3323.67
7/9/2025,3299.1,3316.87012,3282.8999,3312.1
